Epoch,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.680461106441818,0.6112,0.6134,0.6018,0.6075,0.6112,0.6426196746487435,0.8713,0.4734,0.3191,0.3812,0.6343
2,0.630465861081042,0.7767,0.7854,0.7631,0.7741,0.7768,0.5701303042349268,0.9003,0.594,0.6243,0.6088,0.7819
3,0.4846839328146878,0.8541,0.8532,0.859,0.8561,0.854,0.3232097635503675,0.9274,0.7178,0.6851,0.7011,0.8234
4,0.3152025150924964,0.8901,0.8934,0.8849,0.8891,0.8901,0.24826158228956285,0.9223,0.6549,0.7914,0.7167,0.8661
5,0.24504313579128378,0.9073,0.9066,0.9094,0.908,0.9073,0.17763946919900472,0.9432,0.7681,0.7776,0.7728,0.8722
6,0.20683344461659964,0.9213,0.9191,0.9244,0.9218,0.9213,0.17266747005324545,0.9406,0.7339,0.8191,0.7742,0.8885
7,0.19014357157353468,0.9267,0.9239,0.9305,0.9272,0.9267,0.14068027378105727,0.9574,0.84,0.8122,0.8258,0.8951
8,0.16790842235778417,0.9355,0.9315,0.9394,0.9354,0.9355,0.12744596680941803,0.9617,0.8678,0.8163,0.8413,0.8993
9,0.15902809171725804,0.9375,0.9327,0.9436,0.9381,0.9375,0.12493564926413565,0.9619,0.8596,0.8287,0.8439,0.9048
10,0.142935211216295,0.9445,0.9423,0.9463,0.9443,0.9445,0.11505092479939995,0.9646,0.8765,0.8329,0.8541,0.9081
11,0.129800320580041,0.9507,0.9502,0.9529,0.9515,0.9507,0.11226603183182862,0.9669,0.9053,0.8191,0.86,0.9035
12,0.1250574076265183,0.9517,0.9482,0.9555,0.9518,0.9518,0.10966551464173149,0.9676,0.9186,0.8108,0.8613,0.9003
13,0.1134269448447374,0.9589,0.9565,0.9597,0.9581,0.9589,0.1086777906198197,0.9683,0.9231,0.8122,0.8641,0.9013
14,0.11173414728198572,0.957,0.956,0.9574,0.9567,0.957,0.1144474506775131,0.965,0.9,0.808,0.8515,0.8976
15,0.1019155484989458,0.9626,0.9607,0.9649,0.9628,0.9626,0.1083631117375252,0.9695,0.9535,0.7928,0.8658,0.8937
16,0.09645165774739427,0.9645,0.9622,0.966,0.9641,0.9645,0.11114300594313956,0.9683,0.9368,0.7983,0.862,0.8953
17,0.0928739473525591,0.9646,0.9644,0.9656,0.965,0.9646,0.12544647178770416,0.9643,0.9202,0.7804,0.8445,0.8854
18,0.0848971214522803,0.969,0.9685,0.9694,0.9689,0.969,0.11342430296430334,0.9657,0.9031,0.8108,0.8544,0.8992
19,0.08644046375120945,0.9674,0.9663,0.9686,0.9674,0.9674,0.10861034071724353,0.9667,0.9052,0.8177,0.8592,0.9028
20,0.07867488444630494,0.9705,0.9679,0.9723,0.9701,0.9705,0.12257275492706098,0.9628,0.8942,0.7942,0.8413,0.8904
21,0.07058071793028721,0.9744,0.9737,0.9754,0.9745,0.9744,0.11756629568061543,0.966,0.9297,0.7859,0.8518,0.8887
22,0.06794944683200371,0.9751,0.9733,0.9772,0.9752,0.9751,0.12336067602934082,0.9634,0.8913,0.8039,0.8453,0.895
23,0.06996696176682633,0.9736,0.9735,0.9735,0.9735,0.9736,0.1257473033187463,0.9664,0.94,0.779,0.852,0.886
24,0.06784524340465578,0.9752,0.9732,0.9768,0.975,0.9752,0.12827197949229002,0.9624,0.8855,0.8011,0.8412,0.8932
25,0.05908435771131265,0.9789,0.9783,0.9795,0.9789,0.9789,0.1444896052030419,0.9634,0.9353,0.7583,0.8375,0.8754
26,0.06200381036572881,0.9772,0.9752,0.979,0.9771,0.9772,0.17186119566595848,0.9634,0.9604,0.7362,0.8335,0.8659
27,0.06025729743344642,0.9788,0.9775,0.9802,0.9789,0.9788,0.14625976360965992,0.964,0.9283,0.7693,0.8414,0.8805
28,0.058499115701682605,0.9806,0.9801,0.9808,0.9805,0.9806,0.14739022211138608,0.9669,0.9666,0.7597,0.8507,0.878
29,0.05615824095327973,0.9793,0.9783,0.9803,0.9793,0.9793,0.1643869777795632,0.9662,0.9714,0.75,0.8465,0.8734
30,0.05289697940693831,0.9805,0.9782,0.9831,0.9806,0.9804,0.14418492841094102,0.967,0.9586,0.768,0.8528,0.8816
31,0.05159635323132813,0.9819,0.9804,0.9836,0.982,0.9819,0.14396547985548164,0.9638,0.9144,0.7818,0.8429,0.8857
32,0.0449561828527702,0.9834,0.9821,0.9844,0.9833,0.9834,0.17362511418508544,0.9652,0.9869,0.7293,0.8388,0.864
33,0.049044883498644345,0.9824,0.9809,0.9836,0.9822,0.9824,0.1488721540410522,0.9662,0.968,0.7528,0.8469,0.8746
34,0.04655416870210724,0.9825,0.9813,0.9835,0.9824,0.9825,0.18929399575295736,0.9634,0.9867,0.7155,0.8295,0.857
35,0.044728927047924555,0.9842,0.9836,0.9848,0.9842,0.9842,0.15403569178425774,0.9645,0.9359,0.7666,0.8428,0.8796
