fold,accuracy,precision,recall,f1,auroc
0,0.9478,0.75,0.375,0.5,0.9252
1,0.9652,0.5,0.75,0.6,0.7455
2,0.9561,0.75,0.4286,0.5455,0.9666
3,0.9739,1.0,0.4,0.5714,0.9655
4,0.9737,1.0,0.5,0.6667,0.9954
