fold,accuracy,precision,recall,f1,auroc
0,0.9565,0.8,0.5,0.6154,0.8902
1,0.9652,0.5,0.75,0.6,0.7658
2,0.9561,0.75,0.4286,0.5455,0.9506
3,0.9652,1.0,0.2,0.3333,0.9727
4,0.9649,0.75,0.5,0.6,0.9799
