fold,accuracy,precision,recall,f1,auroc
0,1.0,1.0,1.0,1.0,1.0
1,0.964,1.0,0.8,0.889,1.0
2,0.964,1.0,0.833,0.909,0.985
3,0.929,1.0,0.5,0.667,0.969
