fold,accuracy,precision,recall,f1,auroc
0,0.8929,0.6667,0.5,0.5714,0.9583
1,0.9643,1.0,0.8,0.8889,1.0
2,0.9643,1.0,0.8,0.8889,0.9913
3,0.9259,0.75,0.75,0.75,0.9891
4,0.929,0.714,1.0,0.833,0.983
