fold,accuracy,precision,recall,f1,auroc
0,0.9839,0.5917,0.9662,0.7339,0.9968
1,0.9928,0.8719,0.834,0.8525,0.9982
2,0.991,0.738,0.722,0.73,0.995
3,0.996,0.912,0.948,0.93,0.999
4,0.994,0.858,0.869,0.863,0.998
