fold,accuracy,precision,recall,f1,auroc
0,0.9457,0.375,1.0,0.5455,0.9925
1,1.0,1.0,1.0,1.0,1.0
2,0.957,0.625,0.833,0.714,0.981
3,0.967,0.625,1.0,0.769,1.0
4,1.0,1.0,1.0,1.0,1.0
