Epoch,LR,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.0001,0.30491121612634836,0.9208,0.8769,0.9787,0.925,0.921,0.14431134751066566,0.9287,0.2992,0.987,0.4592,0.9569
2,0.0001,0.1221368714881885,0.9579,0.9356,0.9834,0.9589,0.9579,0.07781368784256469,0.9675,0.4855,0.9773,0.6487,0.9722
3,0.0001,0.07824041552011968,0.9743,0.964,0.9854,0.9746,0.9744,0.10088118614634843,0.9649,0.4665,0.9935,0.6349,0.9788
4,0.0001,0.061683681174841215,0.9796,0.9715,0.9881,0.9797,0.9796,0.06402710095644115,0.9771,0.5736,0.987,0.7255,0.9819
5,0.0001,0.04809989260660533,0.9854,0.9788,0.9923,0.9855,0.9854,0.023179784472116008,0.9916,0.8457,0.8896,0.8671,0.9422
6,0.0001,0.04500180070500075,0.9862,0.9808,0.9918,0.9863,0.9862,0.03628074411198254,0.9886,0.7389,0.974,0.8403,0.9816
7,0.0001,0.042296600382731836,0.9873,0.9821,0.9927,0.9874,0.9873,0.051828267959530085,0.9837,0.6538,0.9935,0.7887,0.9884
8,0.0001,0.037581553852757445,0.9888,0.984,0.9937,0.9888,0.9889,0.03029759010891571,0.9901,0.7632,0.9838,0.8596,0.9871
9,0.0001,0.036034099102029364,0.9893,0.9842,0.9946,0.9894,0.9893,0.06254431109813896,0.9795,0.5996,0.9968,0.7488,0.9878
10,0.0001,0.0323161248275813,0.9908,0.9859,0.9958,0.9908,0.9908,0.039418383132458545,0.987,0.7073,0.9805,0.8218,0.9838
11,0.0001,0.030520779718982406,0.9912,0.9873,0.9951,0.9912,0.9912,0.02037664471750921,0.9925,0.8263,0.9578,0.8872,0.9757
12,0.0001,0.030247448408120714,0.9912,0.987,0.9953,0.9912,0.9912,0.016249903642746623,0.9939,0.9186,0.8799,0.8988,0.9387
13,0.0001,0.02887406461356065,0.9919,0.9871,0.9965,0.9918,0.9919,0.024576610475187236,0.9918,0.8087,0.961,0.8783,0.9769
14,0.0001,0.027870856003419812,0.9923,0.9881,0.9967,0.9924,0.9923,0.02037933540277142,0.9918,0.9556,0.7695,0.8525,0.8842
15,0.0001,0.02692110526109272,0.992,0.9882,0.9959,0.9921,0.992,0.02462545906822994,0.9917,0.8049,0.9643,0.8774,0.9784
16,0.0001,0.027856754192201565,0.992,0.9874,0.9968,0.992,0.992,0.03845136734742679,0.9876,0.718,0.9838,0.8301,0.9858
17,0.0001,0.026048705675389885,0.9922,0.9879,0.9968,0.9923,0.9922,0.02007816202595173,0.9929,0.8435,0.9448,0.8913,0.9696
18,0.0001,0.02622422564517652,0.9929,0.9886,0.9973,0.9929,0.9929,0.017303478454951875,0.9938,0.8661,0.9448,0.9037,0.9701
19,0.0001,0.02371373221771913,0.9931,0.9895,0.9967,0.9931,0.9931,0.02563499940070713,0.991,0.8011,0.9416,0.8657,0.9671
20,0.0001,0.023610912949419034,0.9931,0.9893,0.9971,0.9932,0.9931,0.015240670901673015,0.9946,0.8848,0.9481,0.9154,0.9721
21,0.0001,0.0242623947787598,0.9935,0.9894,0.9976,0.9935,0.9934,0.017417584879521126,0.9939,0.8731,0.9383,0.9045,0.967
22,0.0001,0.021762294787543837,0.9942,0.9902,0.9982,0.9942,0.9942,0.03336621936694335,0.9894,0.7577,0.9643,0.8486,0.9773
23,0.0001,0.02125513082070971,0.9942,0.9908,0.9977,0.9942,0.9943,0.0315686072787227,0.9903,0.7698,0.9773,0.8612,0.984
24,0.0001,0.01986331066594676,0.9944,0.9911,0.9976,0.9944,0.9944,0.02226348239858621,0.9928,0.8512,0.9286,0.8882,0.9617
25,0.0001,0.019706346776178305,0.9947,0.9914,0.9981,0.9947,0.9947,0.020029060697417698,0.9927,0.8615,0.9091,0.8847,0.9522
26,0.0001,0.019754484557945408,0.9948,0.9918,0.998,0.9949,0.9948,0.019937572913320788,0.9929,0.8537,0.9286,0.8896,0.9618
27,0.0001,0.016675486165227394,0.9955,0.9928,0.9983,0.9955,0.9956,0.0178757753299196,0.9936,0.8486,0.9643,0.9027,0.9794
28,0.0001,0.017962281266454886,0.9951,0.9925,0.9978,0.9951,0.9951,0.017262840150350175,0.994,0.869,0.9481,0.9068,0.9718
29,0.0001,0.01918354275709277,0.9947,0.9919,0.9976,0.9948,0.9947,0.027334266197166977,0.9913,0.7962,0.9643,0.8722,0.9782
30,0.0001,0.018651785288243638,0.9951,0.9921,0.9983,0.9952,0.9951,0.016282246584387684,0.9946,0.8969,0.9318,0.914,0.9642
