fold,accuracy,precision,recall,f1,auroc
0,0.964,1.0,0.75,0.857,0.99
1,1.0,1.0,1.0,1.0,1.0
2,0.964,1.0,0.8,0.889,0.991
3,0.926,0.75,0.75,0.75,0.989
4,0.893,0.75,0.6,0.667,0.957
