fold,accuracy,precision,recall,f1,auroc
0,0.896,0.485,0.63,0.548,0.884
1,0.953,0.875,0.812,0.842,0.97
2,0.935,0.824,0.723,0.771,0.957
3,0.938,0.614,0.672,0.642,0.943
4,0.892,0.525,0.849,0.649,0.954
