Epoch,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.6961261599014202,0.4805,0.4893,0.6717,0.5662,0.4786,0.6951481754129584,0.5091,0.4593,0.124,0.1953,0.4945
2,0.6921834088861942,0.5179,0.5119,0.4584,0.4837,0.517,0.6913593501755686,0.5226,0.5789,0.022,0.0424,0.5036
3,0.6883424185216427,0.5569,0.5796,0.3398,0.4285,0.5521,0.6871331984346564,0.5283,0.7368,0.028,0.0539,0.5094
4,0.6853482592850924,0.5865,0.5937,0.6224,0.6077,0.5854,0.6841889800447406,0.5946,0.7438,0.238,0.3606,0.5811
5,0.6816273884226879,0.6275,0.6086,0.7569,0.6747,0.6248,0.6804827253023783,0.6523,0.7029,0.478,0.569,0.6457
6,0.6776416258265575,0.6554,0.6367,0.6921,0.6632,0.6561,0.6753036686868379,0.6023,0.8644,0.204,0.3301,0.5872
7,0.6735687411079804,0.6856,0.7052,0.6346,0.6681,0.6854,0.6711819063533436,0.6378,0.8639,0.292,0.4365,0.6247
8,0.6714895305534204,0.6895,0.6995,0.6906,0.695,0.6895,0.6669866352370291,0.6964,0.8262,0.466,0.5959,0.6877
9,0.666056202724576,0.7155,0.7356,0.6618,0.6967,0.7148,0.6622812874389418,0.6849,0.8583,0.412,0.5568,0.6746
10,0.6604650057852268,0.7256,0.7955,0.6019,0.6852,0.7247,0.6571403543154398,0.6868,0.8595,0.416,0.5606,0.6766
11,0.6545358418176571,0.7348,0.7336,0.7441,0.7388,0.7347,0.6514612273736433,0.7646,0.8102,0.666,0.7311,0.7609
12,0.6473990579446157,0.7414,0.7202,0.8055,0.7605,0.7401,0.6457209424539045,0.7608,0.8145,0.65,0.723,0.7566
13,0.6393374688923359,0.7496,0.73,0.7892,0.7585,0.7497,0.6354882554574446,0.7589,0.8449,0.61,0.7085,0.7532
14,0.6351814959198236,0.7463,0.7666,0.6988,0.7311,0.7457,0.6268679463502133,0.7329,0.8651,0.526,0.6542,0.7251
15,0.6229933413366476,0.7644,0.7817,0.7312,0.7556,0.7642,0.6159889553532456,0.7887,0.8553,0.674,0.7539,0.7843
