Epoch,LR,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.0,0.6874657958905898,0.5619,0.5557,0.6325,0.5916,0.5616,0.6500456591024466,0.836,0.3728,0.0905,0.1457,0.5313
2,0.0,0.6684686494641312,0.6897,0.6941,0.6832,0.6886,0.6897,0.6347628079407605,0.8533,0.5432,0.3161,0.3996,0.6338
3,0.0,0.6401399425189269,0.765,0.7724,0.7504,0.7612,0.765,0.5923103364646858,0.8817,0.6745,0.4526,0.5417,0.7063
4,0.0,0.5790466805370208,0.8199,0.8251,0.8179,0.8215,0.8199,0.5180500202567865,0.9006,0.6824,0.6667,0.6744,0.805
5,0.0,0.4716775499964016,0.8534,0.865,0.8341,0.8492,0.8532,0.3788359042600537,0.919,0.7496,0.7141,0.7314,0.8352
6,0.0,0.3730083092487349,0.8672,0.8752,0.8578,0.8664,0.8672,0.2988654944702243,0.9248,0.7409,0.7888,0.7641,0.8692
7,0.0,0.30509138424515936,0.8842,0.8911,0.8774,0.8842,0.8843,0.2552906359341128,0.9287,0.7312,0.852,0.787,0.8974
8,0.0,0.26756628493450196,0.8976,0.9006,0.8912,0.8959,0.8976,0.24798780721975555,0.9192,0.6865,0.8779,0.7705,0.9023
9,0.0,0.23752259729640002,0.9072,0.9089,0.9044,0.9066,0.9072,0.22155524837843915,0.9285,0.721,0.8764,0.7912,0.9072
10,0.0,0.2162005193198303,0.9169,0.916,0.9196,0.9178,0.9169,0.2725579819992079,0.8908,0.5959,0.9109,0.7205,0.899
11,0.0,0.20183199461489543,0.9219,0.9199,0.9252,0.9225,0.9219,0.17518522574546488,0.9432,0.8022,0.8391,0.8202,0.9006
12,0.0,0.18796067364007393,0.9276,0.9266,0.9305,0.9286,0.9275,0.2018833946410223,0.9265,0.716,0.8693,0.7852,0.9031
13,0.0,0.1709105715435498,0.9351,0.9335,0.938,0.9357,0.9351,0.21018843881204619,0.9216,0.6947,0.8793,0.7762,0.9043
14,0.0,0.1689437369287867,0.9362,0.9332,0.9391,0.9361,0.9362,0.1894611602662303,0.9294,0.7294,0.8635,0.7908,0.9025
15,0.0,0.15597479916735818,0.9391,0.9365,0.9419,0.9392,0.9391,0.20608376035242215,0.9192,0.6886,0.8707,0.769,0.8994
16,0.0,0.15016720378654802,0.9434,0.939,0.9477,0.9433,0.9434,0.15745933660378691,0.9452,0.8166,0.8319,0.8242,0.8989
17,0.0,0.1406135274020685,0.9486,0.9483,0.9503,0.9493,0.9485,0.1669101283112739,0.9416,0.797,0.8348,0.8154,0.898
18,0.0,0.14287399350663843,0.943,0.94,0.9464,0.9432,0.943,0.16372216770306547,0.941,0.7905,0.8405,0.8148,0.8999
19,0.0,0.1287921008142461,0.9512,0.948,0.955,0.9515,0.9512,0.14481789285832264,0.9512,0.865,0.8103,0.8368,0.8936
20,0.0,0.12392910947766628,0.9529,0.9516,0.9542,0.9529,0.9529,0.15642997300159847,0.9421,0.7951,0.842,0.8179,0.9012
21,0.0,0.1173653571778152,0.9555,0.9536,0.9561,0.9548,0.9555,0.15427186305746965,0.9438,0.7997,0.8491,0.8237,0.9051
22,0.0,0.1211449634317102,0.9534,0.9518,0.9549,0.9534,0.9534,0.1448392963419992,0.9498,0.8529,0.8161,0.8341,0.8952
23,0.0,0.11644248097421925,0.956,0.9533,0.9574,0.9553,0.956,0.1561169294600791,0.9456,0.8245,0.8233,0.8239,0.8956
24,0.0,0.11608187673190253,0.9568,0.957,0.957,0.957,0.9568,0.14664251964988437,0.9496,0.8591,0.806,0.8317,0.8909
25,0.0,0.1067277535809494,0.959,0.9569,0.9622,0.9596,0.959,0.14467991700937563,0.9507,0.8635,0.8089,0.8353,0.8928
26,0.0,0.10667845556322546,0.9599,0.959,0.9609,0.96,0.9599,0.13807951149709047,0.9529,0.8746,0.8118,0.842,0.8953
27,0.0,0.10603697754589304,0.9601,0.959,0.9617,0.9604,0.9601,0.14791893391665203,0.9492,0.847,0.819,0.8327,0.896
28,0.0,0.10995971234698575,0.9584,0.9556,0.9603,0.9579,0.9584,0.14987472681236183,0.9481,0.8448,0.8132,0.8287,0.893
29,0.0,0.10484619393664844,0.9601,0.9586,0.9627,0.9607,0.9601,0.14967298731604156,0.9498,0.866,0.7989,0.8311,0.8881
30,0.0,0.0958859401368511,0.9651,0.9632,0.9679,0.9655,0.965,0.14516581523608654,0.9505,0.8633,0.8075,0.8344,0.8921
31,0.0,0.09297906334990093,0.9643,0.9615,0.9673,0.9644,0.9643,0.1470406251820795,0.9512,0.8696,0.8046,0.8358,0.8913
32,0.0,0.09903125551717493,0.9615,0.961,0.9629,0.962,0.9615,0.14790525655295197,0.9516,0.8957,0.7773,0.8323,0.8804
33,0.0,0.09619286639552584,0.9629,0.9581,0.9684,0.9633,0.9629,0.14976112065665054,0.9478,0.8405,0.8175,0.8288,0.8946
34,0.0,0.09245661921026135,0.9663,0.9658,0.967,0.9664,0.9662,0.15047539978004093,0.9485,0.8452,0.8161,0.8304,0.8944
35,0.0,0.09003772837324785,0.967,0.9662,0.9681,0.9672,0.967,0.1445438443478329,0.9538,0.891,0.7989,0.8424,0.8905
36,0.0,0.08938460140480711,0.9656,0.9622,0.9687,0.9654,0.9656,0.15315901094070034,0.9518,0.8933,0.7816,0.8337,0.8823
