fold,accuracy,precision,recall,f1,auroc
0,0.9072,0.533,0.6077,0.5679,0.901
1,0.9592,0.9089,0.8175,0.8608,0.9763
2,0.9349,0.8145,0.7351,0.7728,0.9577
3,0.9323,0.5773,0.6747,0.6222,0.9509
4,0.8935,0.5297,0.8627,0.6564,0.9559
