fold,accuracy,precision,recall,f1,auroc
0,0.8958,0.4851,0.6301,0.5482,0.8841
1,0.9529,0.8746,0.8118,0.842,0.9696
2,0.9352,0.8242,0.7234,0.7705,0.9572
3,0.938,0.6143,0.6717,0.6417,0.943
4,0.8916,0.5251,0.8491,0.6489,0.9535
