fold,accuracy,precision,recall,f1,auroc
0,1.0,1.0,1.0,1.0,1.0
1,0.9643,1.0,0.8,0.8889,0.9913
2,0.9643,1.0,0.8,0.8889,0.9913
3,0.9259,0.75,0.75,0.75,0.9674
4,0.8571,0.6,0.6,0.6,0.9304
