fold,accuracy,precision,recall,f1,auroc
0.0,0.935,0.936,0.935,0.931,0.984
1.0,0.968,0.972,0.968,0.97,0.977
2.0,0.966,0.966,0.966,0.965,0.974
3.0,0.917,0.939,0.917,0.924,0.972
,,,,,
