fold,accuracy,precision,recall,f1,auroc
0.0,0.943,1.0,0.75,0.857,0.995
1.0,0.971,0.977,0.971,0.973,1.0
2.0,0.971,0.972,0.971,0.97,1.0
3.0,0.943,0.959,0.943,0.947,0.993
4.0,0.971,1.0,0.833,0.909,0.994
