Epoch,LR,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.0001,0.6968391631778917,0.4799,0.4809,0.54,0.5087,0.48,0.6928067984788314,0.5302,0.236,0.0712,0.1094,0.4571
2,0.0001,0.686970876235711,0.5695,0.5673,0.6122,0.5889,0.5692,0.6931603499080824,0.5247,0.3706,0.2475,0.2967,0.4805
3,0.0001,0.6772161581014332,0.634,0.6994,0.4197,0.5246,0.6262,0.6834598390952401,0.5852,0.2941,0.0169,0.0321,0.4946
4,0.0001,0.6690855316425625,0.6686,0.8211,0.4255,0.5605,0.667,0.6872378198996835,0.5673,0.4515,0.3153,0.3713,0.5271
5,0.0001,0.6577652308501696,0.6706,0.6694,0.67,0.6697,0.6706,0.6818935663803763,0.5975,0.5051,0.339,0.4057,0.5563
6,0.0001,0.6454080594213385,0.6994,0.7659,0.5752,0.657,0.6995,0.6833789374517358,0.5714,0.4742,0.5288,0.5,0.5646
7,0.0001,0.6359213300441441,0.6912,0.7478,0.5669,0.6449,0.6899,0.6788471081982488,0.5962,0.5015,0.5661,0.5318,0.5914
8,0.0001,0.6212037440977598,0.6965,0.7661,0.5608,0.6476,0.6958,0.6767746002777763,0.6058,0.5102,0.678,0.5822,0.6173
9,0.0001,0.6077371827865902,0.7015,0.7581,0.5924,0.6651,0.7016,0.6683298971342004,0.6456,0.5504,0.6847,0.6103,0.6518
10,0.0001,0.5885867994082602,0.7142,0.7744,0.6092,0.6819,0.7148,0.6646258986514547,0.6332,0.5347,0.7322,0.618,0.649
11,0.0001,0.573139214986249,0.7245,0.7897,0.6083,0.6872,0.7239,0.6553334101386692,0.6484,0.5481,0.7525,0.6343,0.665
12,0.0001,0.5535239522394381,0.7352,0.8009,0.6167,0.6968,0.7337,0.6291471020035122,0.6978,0.6154,0.678,0.6452,0.6946
13,0.0001,0.54031684484921,0.7323,0.8023,0.6223,0.701,0.7332,0.6246797235115714,0.7129,0.6005,0.8712,0.7109,0.7381
14,0.0001,0.5215744540879601,0.7484,0.8046,0.6599,0.7251,0.7489,0.598172585601392,0.7459,0.6279,0.9153,0.7448,0.7729
15,0.0001,0.5017781053718767,0.7603,0.8004,0.6993,0.7464,0.7608,0.547729131968125,0.8242,0.7379,0.878,0.8019,0.8327
16,0.0001,0.4884526741347815,0.7697,0.822,0.7,0.7561,0.7711,0.5117654904075291,0.864,0.7882,0.9085,0.8441,0.8711
17,0.0001,0.4592353391804193,0.7928,0.8209,0.7431,0.7801,0.7922,0.4705247516217439,0.8874,0.8218,0.922,0.869,0.8929
18,0.0001,0.4568018654459401,0.7812,0.8122,0.7178,0.7621,0.7798,0.43423712253570557,0.9038,0.8399,0.9424,0.8882,0.91
19,0.0001,0.41865042400987523,0.8076,0.823,0.7808,0.8014,0.8074,0.41861553684524866,0.897,0.8161,0.9627,0.8834,0.9075
20,0.0001,0.40179483945432465,0.8187,0.8336,0.7929,0.8127,0.8185,0.38984727341195813,0.9148,0.8397,0.9763,0.9028,0.9246
21,0.0001,0.3957363390608838,0.8322,0.841,0.8231,0.832,0.8323,0.38040485006311664,0.908,0.822,0.9864,0.8968,0.9205
22,0.0001,0.3838584728931126,0.8252,0.8136,0.8523,0.8325,0.8247,0.3292613936507184,0.9368,0.8879,0.9661,0.9253,0.9415
23,0.0001,0.36219534101454837,0.8438,0.8477,0.8463,0.847,0.8437,0.3253012927977935,0.9231,0.8484,0.9864,0.9122,0.9332
24,0.0001,0.3566499254421184,0.8306,0.8181,0.8388,0.8283,0.8308,0.30294935405254364,0.9368,0.8784,0.9797,0.9263,0.9436
25,0.0001,0.3488526563895376,0.8425,0.8361,0.8622,0.8489,0.842,0.3181191391271094,0.9107,0.8249,0.9898,0.8998,0.9233
26,0.0001,0.3474726241670157,0.8372,0.8308,0.8392,0.835,0.8372,0.3351759936498559,0.8901,0.7882,0.9966,0.8802,0.9071
27,0.0001,0.3291671042771716,0.8491,0.8343,0.863,0.8484,0.8494,0.30415538536465686,0.9066,0.8144,0.9966,0.8963,0.9209
28,0.0001,0.32231387397960615,0.8602,0.868,0.8554,0.8617,0.8603,0.30448973373226496,0.9025,0.8094,0.9932,0.8919,0.9169
29,0.0001,0.31461644662838234,0.8639,0.8643,0.8759,0.87,0.8634,0.2811520549914111,0.9176,0.8348,0.9932,0.9071,0.9296
30,0.0001,0.30475761368870735,0.868,0.8542,0.8898,0.8717,0.8678,0.32305964535993076,0.8819,0.7772,0.9932,0.872,0.8996
31,0.0001,0.29750463092013407,0.8721,0.8726,0.8747,0.8736,0.8721,0.3175199929138888,0.8791,0.7717,0.9966,0.8698,0.8978
32,0.0001,0.2938311597038257,0.8779,0.8663,0.8833,0.8747,0.8781,0.2665456818497699,0.9121,0.8387,0.9695,0.8994,0.9212
33,0.0001,0.2764914108342246,0.8799,0.8784,0.8769,0.8776,0.8799,0.2882184522307437,0.9066,0.8179,0.9898,0.8957,0.9199
34,0.0001,0.27523202253015416,0.8787,0.8775,0.8825,0.88,0.8787,0.28937920037171116,0.897,0.8056,0.9831,0.8855,0.9107
35,0.0001,0.26907488899795634,0.8849,0.8844,0.8859,0.8852,0.8849,0.3274790171695792,0.864,0.7539,0.9864,0.8546,0.8835
36,0.0001,0.2464698982474051,0.9005,0.8956,0.9141,0.9047,0.9,0.2967113731024058,0.886,0.7849,0.9898,0.8756,0.9025
37,0.0001,0.2589891105890274,0.8853,0.8724,0.9057,0.8887,0.885,0.28953358255650685,0.8915,0.7919,0.9932,0.8812,0.9077
38,0.0001,0.2497762802400087,0.8882,0.8822,0.891,0.8866,0.8882,0.2571513102106426,0.9052,0.8174,0.9864,0.894,0.9182
39,0.0001,0.24024330177589467,0.8993,0.8986,0.9051,0.9018,0.8991,0.24093240110770517,0.9135,0.8314,0.9864,0.9023,0.9251
40,0.0001,0.24886320266676576,0.8865,0.8957,0.8858,0.8907,0.8865,0.2831885722344336,0.886,0.7865,0.9864,0.8752,0.902
41,0.0001,0.2355278355902747,0.9009,0.9004,0.9055,0.9029,0.9008,0.28402359411120415,0.8874,0.7886,0.9864,0.8765,0.9032
42,0.0001,0.2339898129238894,0.896,0.8877,0.9046,0.8961,0.896,0.2841189769299134,0.8832,0.7838,0.9831,0.8722,0.8991
43,0.0001,0.2293901984628878,0.9017,0.8998,0.9049,0.9023,0.9017,0.28984654468038806,0.8791,0.7805,0.9763,0.8675,0.8946
44,0.0001,0.22782042397088126,0.9025,0.9034,0.907,0.9052,0.9024,0.30545780176053877,0.8668,0.7592,0.9831,0.8567,0.8853
45,0.0001,0.22581232897937298,0.9083,0.8988,0.9202,0.9094,0.9083,0.29366076381310174,0.8777,0.7784,0.9763,0.8662,0.8934
46,0.0001,0.22361798290359347,0.9083,0.9012,0.914,0.9075,0.9084,0.2956550759465798,0.875,0.7713,0.9831,0.8644,0.8922
47,0.0001,0.2078122278969539,0.9174,0.9079,0.9268,0.9172,0.9175,0.2772973711885836,0.8846,0.7859,0.9831,0.8735,0.9003
48,0.0001,0.21404372655639523,0.9137,0.9207,0.904,0.9123,0.9136,0.2745967349442451,0.8832,0.7838,0.9831,0.8722,0.8991
49,0.0001,0.2193907651265985,0.9075,0.8992,0.9106,0.9049,0.9076,0.2753446038974368,0.8819,0.7879,0.9695,0.8693,0.8958
