fold,accuracy,precision,recall,f1,auroc
0,0.9853,0.6178,0.9372,0.7447,0.9961
1,0.992,0.88,0.81,0.844,0.994
2,0.986,0.602,0.688,0.642,0.993
3,0.995,0.861,0.987,0.92,1.0
4,0.995,0.881,0.907,0.894,0.999
