fold,accuracy,precision,recall,f1,auroc
0,0.9348,0.2857,0.6667,0.4,0.9738
1,1.0,1.0,1.0,1.0,1.0
2,0.946,0.556,0.833,0.667,0.969
3,0.967,0.625,1.0,0.769,1.0
4,0.978,0.667,1.0,0.8,1.0
