test type,accuracy,precision,recall,f1,auroc
Image W/O TTA,0.9339,0.8366,0.7629,0.798,0.9713
Image TTA,0.9384,0.8287,0.8069,0.8177,0.9761
Patient,0.9444,0.8571,0.8571,0.8571,0.9754
