,Patients,CMML (patients),Normal (patients),Images,CMML (images),Normal (images)
Fold 0,175,22,118,3047,1078,1969
Fold 1,175,26,114,3283,1270,2013
Fold 2,175,23,118,3187,1217,1970
Fold 3,175,25,115,3456,1425,2031
Fold 4,175,24,116,3384,1322,2062
Total,875,120,581,16357,6312,10045
