fold,accuracy,precision,recall,f1,auroc
0.0,0.9222,0.9729,0.862,0.9141,0.9886
1.0,0.9068,0.8541,0.9123,0.8823,0.9715
2.0,0.9445,0.9875,0.8726,0.9265,0.9541
3.0,0.9209,0.8601,0.8039,0.8311,0.9681
4.0,0.929,0.9858,0.8164,0.8932,0.9743
