fold,accuracy,precision,recall,f1,auroc
0.0,0.9429,0.875,0.875,0.875,0.9769
1.0,0.8286,0.4,1.0,0.5714,0.9597
2.0,0.9706,1.0,0.8571,0.9231,0.9206
3.0,0.9429,0.7143,1.0,0.8333,1.0
4.0,0.9714,1.0,0.8333,0.9091,0.9885
