fold,accuracy,precision,recall,f1,auroc
0,1.0,1.0,1.0,1.0,1.0
1,0.9643,1.0,0.8,0.8889,1.0
2,0.9643,1.0,0.8333,0.9091,0.9924
3,0.9643,1.0,0.75,0.8571,0.9688
4,1.0,1.0,1.0,1.0,1.0
