test type,accuracy,precision,recall,f1,auroc
Image W/O TTA,0.8685,0.7685,0.9925,0.8662,0.9787
Image TTA,0.8879,0.8,0.9849,0.8829,0.9777
Patient,0.9167,0.6667,1.0,0.8,0.9944
