fold,accuracy,precision,recall,f1,auroc
0,0.962,0.929,0.98,0.954,0.989
1,0.963,0.936,0.964,0.95,0.989
2,0.843,0.831,0.808,0.819,0.918
3,0.594,0.43,0.328,0.372,0.577
4,0.877,0.786,0.724,0.754,0.949
