fold,accuracy,precision,recall,f1,auroc
0,0.967,0.939,0.983,0.96,0.991
1,0.955,0.935,0.942,0.938,0.988
2,0.813,0.789,0.787,0.788,0.904
3,0.593,0.429,0.338,0.379,0.568
4,0.873,0.798,0.685,0.737,0.935
