fold,accuracy,precision,recall,f1,auroc
0,0.929,0.714,1.0,0.833,0.983
1,0.964,0.833,1.0,0.909,0.974
2,0.893,0.667,1.0,0.8,0.955
3,0.679,0.143,0.25,0.182,0.448
4,0.926,0.75,0.75,0.75,0.989
