fold,accuracy,precision,recall,f1,auroc
0.0,0.944,0.9774,0.7152,0.826,0.9912
1.0,0.9694,0.6113,0.8442,0.7091,0.9882
2.0,0.9644,0.9834,0.8277,0.8989,0.9819
3.0,0.9614,0.9231,0.7246,0.8119,0.9779
4.0,0.9705,0.957,0.7983,0.8705,0.9751
