fold,accuracy,precision,recall,f1,auroc
0.0,0.9429,1.0,0.75,0.8571,1.0
1.0,0.9714,0.8,1.0,0.8889,1.0
2.0,0.9706,1.0,0.8571,0.9231,1.0
3.0,0.9714,1.0,0.8,0.8889,0.9933
4.0,0.9714,1.0,0.8333,0.9091,0.9943
