Epoch,LR,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.0001,0.685128862344766,0.5971,0.5714,0.8375,0.6793,0.5925,0.6831703015736171,0.6605,0.5948,0.7238,0.653,0.6671
2,0.0001,0.6724759159208853,0.6875,0.6915,0.6833,0.6874,0.6875,0.6699715455373129,0.6744,0.6963,0.465,0.5577,0.6524
3,0.0001,0.6524519807175745,0.7353,0.7722,0.6553,0.709,0.734,0.652166641893841,0.6528,0.6968,0.3776,0.4898,0.6239
4,0.0001,0.6363102703154841,0.7329,0.7802,0.6431,0.7051,0.7322,0.6343502799669901,0.6667,0.7303,0.3881,0.5068,0.6374
5,0.0001,0.6073901336404341,0.7611,0.7956,0.7105,0.7506,0.7618,0.6126572063991002,0.7022,0.7163,0.5385,0.6148,0.685
6,0.0001,0.5697382096248337,0.7846,0.8209,0.7289,0.7722,0.7847,0.5844049936249143,0.7022,0.6962,0.5769,0.631,0.689
7,0.0001,0.5312666255462019,0.799,0.8167,0.783,0.7995,0.7994,0.5538204596156165,0.6991,0.7059,0.5455,0.6154,0.6829
8,0.0001,0.47909405525726606,0.8244,0.8344,0.807,0.8205,0.8243,0.5296402878704525,0.713,0.7273,0.5594,0.6324,0.6968
9,0.0001,0.430929554036901,0.8447,0.8558,0.8285,0.842,0.8447,0.5126702842258272,0.7238,0.7336,0.5874,0.6524,0.7095
10,0.0001,0.39640092359313484,0.8428,0.8404,0.837,0.8387,0.8426,0.5001262291556313,0.7423,0.7409,0.6399,0.6867,0.7315
11,0.0001,0.36989545746694635,0.8535,0.8501,0.8555,0.8528,0.8535,0.48573629309733707,0.7377,0.7437,0.6189,0.6756,0.7252
12,0.0001,0.358119583393954,0.8603,0.8692,0.8507,0.8599,0.8603,0.48109393283015206,0.7438,0.7521,0.6259,0.6832,0.7314
13,0.0001,0.3421166231737861,0.8607,0.8676,0.8539,0.8607,0.8607,0.4643912787238757,0.7639,0.7588,0.6818,0.7182,0.7553
