fold,accuracy,precision,recall,f1,auroc
0,0.912,0.831,0.983,0.901,0.978
1,0.915,0.901,0.861,0.881,0.979
2,0.869,0.865,0.832,0.848,0.941
3,0.607,0.462,0.424,0.442,0.625
4,0.869,0.765,0.717,0.74,0.906
