Epoch,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.6778010598550198,0.6134,0.6047,0.678,0.6393,0.6127,0.6420985321325758,0.8221,0.5565,0.2136,0.3087,0.5874
2,0.6220227167660006,0.7617,0.7628,0.7676,0.7652,0.7616,0.5220156959229452,0.8776,0.8858,0.3922,0.5436,0.6903
3,0.4619762377732246,0.8526,0.8584,0.8412,0.8497,0.8525,0.31422466451039344,0.9217,0.8335,0.7234,0.7746,0.8452
4,0.2970418953736288,0.8923,0.8935,0.8907,0.8921,0.8923,0.22873662846402887,0.9236,0.7858,0.8101,0.7978,0.8798
5,0.22767693674094902,0.9146,0.9133,0.9159,0.9146,0.9146,0.20402665733376896,0.9233,0.7627,0.8524,0.8051,0.8959
6,0.1878006685991495,0.9291,0.9249,0.9336,0.9292,0.9291,0.17956614642878252,0.9296,0.7834,0.8586,0.8193,0.9022
7,0.16932952602599577,0.937,0.9347,0.939,0.9368,0.937,0.1812603800711822,0.9277,0.7652,0.8813,0.8192,0.9098
8,0.15371675532882306,0.9419,0.94,0.9444,0.9422,0.9419,0.17854372677079008,0.9275,0.7679,0.8741,0.8176,0.9069
9,0.13550106424749234,0.9499,0.9475,0.9532,0.9503,0.9499,0.1549358017331252,0.9375,0.8374,0.8235,0.8304,0.8935
10,0.1318825425504171,0.9509,0.9483,0.9536,0.9509,0.9509,0.15161677607637972,0.9401,0.815,0.8772,0.8449,0.9159
11,0.12093264737419271,0.9556,0.9518,0.959,0.9554,0.9556,0.1500971635826435,0.9426,0.8914,0.7874,0.8362,0.8827
12,0.11504020922294649,0.9575,0.9555,0.96,0.9577,0.9575,0.15241624848585736,0.9415,0.8764,0.7977,0.8352,0.886
13,0.1062344533421424,0.9611,0.9589,0.9636,0.9613,0.9611,0.143525307969493,0.9467,0.9013,0.8008,0.8481,0.8904
14,0.09998317706921307,0.9643,0.9621,0.9678,0.9649,0.9643,0.15189476286638184,0.9451,0.911,0.7812,0.8411,0.8819
15,0.09707926123032318,0.9647,0.9626,0.9674,0.965,0.9646,0.14063924117345203,0.9446,0.8688,0.8266,0.8472,0.8991
16,0.08826884582282454,0.9686,0.9665,0.9709,0.9687,0.9686,0.15484789074427147,0.9438,0.8995,0.7853,0.8386,0.8827
17,0.08757980186073044,0.9675,0.9658,0.9695,0.9677,0.9675,0.15764706948646373,0.9438,0.8894,0.7967,0.8405,0.887
18,0.07814730925265433,0.9714,0.9698,0.9726,0.9712,0.9714,0.16632963029633455,0.9426,0.9066,0.7709,0.8332,0.8764
19,0.08027283052957071,0.9702,0.9684,0.9721,0.9702,0.9702,0.17231280946007077,0.943,0.9275,0.7523,0.8308,0.8694
20,0.0789829973464127,0.9716,0.9695,0.9736,0.9715,0.9716,0.1680879829368594,0.9428,0.9096,0.7688,0.8333,0.8757
21,0.07502839226752478,0.9727,0.9707,0.9754,0.9731,0.9727,0.15881693661727148,0.9438,0.9033,0.7812,0.8379,0.8811
22,0.07191412844767194,0.9742,0.9733,0.9746,0.9739,0.9742,0.16834098256144536,0.944,0.9184,0.7668,0.8358,0.8756
23,0.06610586658826179,0.9761,0.9747,0.978,0.9763,0.976,0.1553500360549296,0.9463,0.9176,0.7812,0.8439,0.8826
24,0.06663817300693081,0.9757,0.9742,0.9772,0.9757,0.9757,0.1550249555269599,0.9469,0.9209,0.7812,0.8453,0.8829
25,0.06422375287381217,0.9781,0.9766,0.98,0.9783,0.9781,0.17641043368486997,0.9426,0.9219,0.7554,0.8304,0.8704
26,0.062073619063333224,0.977,0.9752,0.979,0.9771,0.977,0.15395833621947153,0.9457,0.9203,0.775,0.8415,0.8799
27,0.05726694870601328,0.9793,0.9774,0.9818,0.9796,0.9792,0.1530659264660629,0.9465,0.9088,0.7915,0.8461,0.8867
28,0.05773856540658523,0.9804,0.9795,0.9811,0.9803,0.9804,0.1518890024298528,0.947,0.915,0.7884,0.847,0.8859
29,0.05560867491544325,0.9808,0.9791,0.9825,0.9808,0.9808,0.21777056710240345,0.9376,0.951,0.7007,0.8069,0.8462
30,0.052123775676059185,0.9808,0.98,0.9821,0.9811,0.9808,0.17970618014466702,0.9428,0.9285,0.7503,0.8299,0.8685
31,0.05470479842430601,0.9807,0.9787,0.9828,0.9808,0.9807,0.17433189282456607,0.9428,0.9374,0.742,0.8283,0.8653
32,0.0521281838227776,0.9814,0.9802,0.9824,0.9813,0.9814,0.16616680837690578,0.9449,0.9262,0.7647,0.8378,0.8754
33,0.04971770613595749,0.9811,0.9793,0.983,0.9812,0.9811,0.1786240929104902,0.9438,0.939,0.7461,0.8315,0.8675
34,0.04300340131460918,0.9854,0.9842,0.9868,0.9855,0.9854,0.17322319659777272,0.9442,0.9227,0.7637,0.8357,0.8745
35,0.045291088243295426,0.9845,0.9831,0.9861,0.9846,0.9845,0.18960222250751957,0.9417,0.9257,0.7461,0.8263,0.8662
