fold,accuracy,precision,recall,f1,auroc
0,0.9121,0.8309,0.9831,0.9006,0.9783
1,0.9152,0.9008,0.8613,0.8806,0.979
2,0.8688,0.8655,0.8322,0.8485,0.9411
3,0.6074,0.4615,0.4242,0.4421,0.6253
4,0.8691,0.7647,0.7165,0.7398,0.906
