fold,accuracy,precision,recall,f1,auroc
0,0.8929,0.6667,0.8,0.7273,0.9739
1,0.9286,0.8,0.8,0.8,0.9913
2,0.8929,0.7143,0.8333,0.7692,0.9621
3,0.6429,0.125,0.25,0.1667,0.5208
4,0.9259,0.75,0.75,0.75,0.9783
