fold,accuracy,precision,recall,f1,auroc
0,0.9313,0.8635,0.9864,0.9209,0.9821
1,0.9179,0.938,0.8285,0.8798,0.9781
2,0.8519,0.8598,0.7937,0.8255,0.9422
3,0.6204,0.4785,0.3939,0.4321,0.6275
4,0.8712,0.7712,0.7165,0.7429,0.9276
