fold,accuracy,precision,recall,f1,auroc
0,0.9286,0.7143,1.0,0.8333,0.9826
1,0.9286,0.8,0.8,0.8,0.9913
2,0.8929,0.7143,0.8333,0.7692,0.9621
3,0.6429,0.2,0.5,0.2857,0.5417
4,0.9259,0.75,0.75,0.75,0.9674
