fold,accuracy,precision,recall,f1,auroc
0,0.9341,0.8687,0.9864,0.9238,0.9833
1,0.9258,0.936,0.854,0.8931,0.981
2,0.8519,0.8654,0.7867,0.8242,0.9427
3,0.6389,0.5079,0.4848,0.4961,0.6421
4,0.8855,0.7795,0.7795,0.7795,0.9354
