fold,accuracy,precision,recall,f1,auroc
0,0.9121,0.8309,0.9831,0.9006,0.9779
1,0.9219,0.9119,0.8686,0.8897,0.9802
2,0.8627,0.8608,0.8217,0.8408,0.9393
3,0.6333,0.5,0.4798,0.4897,0.6361
4,0.865,0.7194,0.7874,0.7519,0.9234
