fold,accuracy,precision,recall,f1,auroc
0,0.913,0.831,0.986,0.902,0.978
1,0.923,0.909,0.876,0.892,0.981
2,0.863,0.863,0.818,0.84,0.939
3,0.635,0.503,0.48,0.491,0.636
4,0.869,0.727,0.795,0.759,0.923
