fold,accuracy,precision,recall,f1,auroc
0,0.933,0.866,0.986,0.922,0.984
1,0.926,0.936,0.854,0.893,0.981
2,0.853,0.872,0.783,0.825,0.943
3,0.641,0.511,0.49,0.5,0.643
4,0.881,0.763,0.787,0.775,0.935
