Epoch,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,0.6801988783856513,0.6175667342084398,0.6183768304609779,0.6175667342084398,0.616659494864448,0.6173041316228918,0.6637830654295479,0.7818945760122231,0.9289978729570892,0.7818945760122231,0.8428335708262751,0.6113220113220114
2,0.6252269193320207,0.7913399700466919,0.7917107855281355,0.7913399700466919,0.7912207797688056,0.791134559163737,0.5925668921412491,0.8361344537815126,0.9342819388035071,0.8361344537815126,0.8773922921666742,0.6562104562104563
3,0.4625990672430522,0.8677649546295481,0.868191280526693,0.8677649546295481,0.867713720642285,0.8676789766651531,0.3893107831841562,0.865546218487395,0.9393648159257442,0.865546218487395,0.8963605892174282,0.6963702963702963
4,0.2860103173994682,0.9034886794115056,0.9035472051337732,0.9034886794115056,0.9034914204429997,0.9035354732603816,0.3900467914233847,0.830977845683728,0.9427673957423895,0.830977845683728,0.8756667479578848,0.7278388278388277
5,0.2138251829525115,0.920271341732006,0.9202758578559596,0.920271341732006,0.920269485124368,0.9202462141498816,0.40819992106862185,0.8235294117647058,0.9465311438430656,0.8235294117647058,0.8714863777721745,0.759040959040959
6,0.1791158176486341,0.9333979385076204,0.9333978620616561,0.9333979385076204,0.9333978713064219,0.9333949088596111,0.32701573702620296,0.8527501909854851,0.9468772896644725,0.8527501909854851,0.8899727552655815,0.761938061938062
7,0.1596222001849346,0.9420315390714474,0.9420330951547975,0.9420315390714474,0.942030883950696,0.942018114797538,0.368389970282229,0.8405271199388846,0.9487654051960143,0.8405271199388846,0.882583948548402,0.7782550782550782
8,0.1450441433195497,0.9444542331072152,0.9444542339701085,0.9444542331072152,0.9444542317061245,0.9444541943036823,0.3171381249387817,0.8590527119938884,0.9487823222691935,0.8590527119938884,0.8942483694837323,0.7776223776223775
9,0.13049700215826152,0.951502070302176,0.9515029084095404,0.951502070302176,0.9515022659520409,0.9515025749833697,0.35240141933829316,0.8456837280366692,0.9493347683243266,0.8456837280366692,0.8859295048359922,0.7830169830169831
10,0.12009743151425475,0.9548497929697825,0.9548500297272462,0.9548497929697825,0.9548498205656318,0.9548502623607794,0.3741111553660253,0.8456837280366692,0.9522797565752874,0.8456837280366692,0.8863631692372573,0.8077922077922077
11,0.10929045861088474,0.9592546912166329,0.9592563848268933,0.9592546912166329,0.959254180994638,0.9592400303755302,0.29022579631063994,0.8798701298701299,0.9530816767705248,0.8798701298701299,0.908092735258118,0.8112221112221112
12,0.10667018208023109,0.9605321117082195,0.9605323024690398,0.9605321117082195,0.9605321772665687,0.9605301640910908,0.23360033671757796,0.898968678380443,0.9519026901418007,0.898968678380443,0.9198007975740892,0.7943722943722944
13,0.10115342132589766,0.9614571403400581,0.9614628071444327,0.9614571403400581,0.9614574198179051,0.9614656236815088,0.3155589982322076,0.8695569136745608,0.9524722474602104,0.8695569136745608,0.9014941198036194,0.8078921078921079
14,0.09768857842993359,0.964408422165448,0.964409183201684,0.964408422165448,0.9644085332158611,0.9644103496159946,0.3307657172767127,0.8682200152788389,0.9543000560272503,0.8682200152788389,0.9009659341710737,0.8237096237096238
15,0.09140895148345703,0.9668311162012158,0.9668311926224465,0.9668311162012158,0.9668311075128719,0.9668308716172941,0.3078049114201127,0.8762414056531703,0.9534908075303171,0.8762414056531703,0.9058866186955777,0.8155178155178154
16,0.08413565161992127,0.9680204387278654,0.9680297967325613,0.9680204387278654,0.9680200386152465,0.968012852451189,0.2821770254068258,0.8877005347593583,0.953559215919879,0.8877005347593583,0.9131067821225686,0.8132534132534133
17,0.08037148864454471,0.9707514756409127,0.9707515077665154,0.9707514756409127,0.9707514615664884,0.9707508345728132,0.30723909059221427,0.8812070282658518,0.9541540787864786,0.8812070282658518,0.9091381610765548,0.8201798201798202
18,0.083109350917651,0.9677561448330544,0.9677598823050331,0.9677561448330544,0.9677558427662671,0.9677482900897016,0.2363267684945973,0.9046982429335371,0.9528184181480693,0.9046982429335371,0.9235953919548788,0.7994338994338995
19,0.07276872284841579,0.9729979737468064,0.9729988957599006,0.9729979737468064,0.972997889131633,0.9729950821025914,0.24238049118529734,0.9037433155080213,0.9543372003758962,0.9037433155080213,0.9233530134499873,0.8133866133866134
20,0.0673741463755428,0.9748039820280151,0.974804507986076,0.9748039820280151,0.9748039726414843,0.9748038881107846,0.24183249523545183,0.9043162719633308,0.9537059330410319,0.9043162719633308,0.923566485161495,0.8074925074925074
21,0.06860472299420918,0.9752444718527002,0.9752449684142359,0.9752444718527002,0.9752444476437486,0.975243730108654,0.23990111750346133,0.9052711993888465,0.9538233608123513,0.9052711993888465,0.9241930218965777,0.807992007992008
22,0.06975318718452374,0.9743634922033301,0.974363555502857,0.9743634922033301,0.9743634557905156,0.9743614723531145,0.21535983815698362,0.9142475171886937,0.9543261866512245,0.9142475171886937,0.929949915639678,0.8064935064935064
23,0.06368926248060618,0.9773588230111885,0.9773595294562057,0.9773588230111885,0.9773589031448642,0.9773614601172289,0.1913805835221599,0.9228418640183346,0.955210308545895,0.9228418640183346,0.9355845424511641,0.8068598068598068
24,0.060600157769095206,0.9770064311514404,0.9770117093603774,0.9770064311514404,0.9770063328199617,0.9770049386666242,0.24457164207564258,0.9043162719633308,0.9537059330410319,0.9043162719633308,0.923566485161495,0.8074925074925074
25,0.05927257177577367,0.9780636067306845,0.9780695011397357,0.9780636067306845,0.9780640940928683,0.9780830049111482,0.19241931826648553,0.924942704354469,0.9526239522135641,0.924942704354469,0.9361719671637351,0.7811188811188812
26,0.05497376709146766,0.9800898599242357,0.980089888018834,0.9800898599242357,0.9800898435439527,0.9800886663261996,0.28999866204472574,0.8924751718869366,0.9533220112191858,0.8924751718869366,0.9160546352237606,0.8095571095571095
27,0.05405571206741717,0.9796493700995507,0.9796510200048931,0.9796493700995507,0.9796495790976305,0.9796564244464591,0.1672950441631057,0.9343009931245225,0.9547466613922679,0.9343009931245225,0.9426385304240819,0.7880785880785881
28,0.05336369676663029,0.9802220068716413,0.9802228846175132,0.9802220068716413,0.9802220178086648,0.9802229520712468,0.17614268887470044,0.9314362108479756,0.9550174656844085,0.9314362108479756,0.940930105145569,0.7948384948384948
29,0.05273613401600094,0.9804422517839838,0.9804461866877624,0.9804422517839838,0.9804422712134463,0.9804451446849257,0.2084185719751276,0.9184491978609626,0.9540378657207895,0.9184491978609626,0.9325120522647345,0.8004329004329005
30,0.05022103795945697,0.9820720641353184,0.9820743378906256,0.9820720641353184,0.9820721929536311,0.9820790982932143,0.27548022709060005,0.898968678380443,0.9554257914151953,0.898968678380443,0.9205880383950276,0.8253413253413253
31,0.04937702144109185,0.9814994273632279,0.981499439439642,0.9814994273632279,0.9814994257837628,0.9814993353918827,0.21592692131312882,0.9173032849503437,0.9554665451950076,0.9173032849503437,0.9321610214686841,0.8142857142857143
32,0.049320485517644966,0.9815434763456964,0.9815480381502992,0.9815434763456964,0.9815436831689952,0.9815552462954668,0.1517070043127893,0.9411764705882353,0.955354882268546,0.9411764705882353,0.9471040540862238,0.7813519813519813
33,0.04653640235659443,0.9833935336093736,0.9833947827236823,0.9833935336093736,0.9833934693256265,0.9833901247772567,0.18703749105788586,0.9258976317799847,0.9557434726251465,0.9258976317799847,0.9376545411225403,0.8084582084582085
34,0.044265158763843994,0.9832613866619682,0.9832613866619682,0.9832613866619682,0.9832613866619682,0.9832588762444315,0.20323769703348418,0.9251336898395722,0.9537954879111648,0.9251336898395722,0.936630409944462,0.7915417915417915
