Fold,Total Patients,CMML (patients),Normal (patients),Images,CMML (images),Normal (images)
Fold 0,574,21,346,40299,973,39326
Fold 1,574,18,349,39211,927,38284
Fold 2,574,18,349,39418,1004,38414
Fold 3,574,19,348,39280,872,38408
Fold 4,574,20,348,39068,944,38124
Total,2870,96,1740,197276,4720,192556
