fold,accuracy,precision,recall,f1,auroc
0,0.9856,0.6163,0.9855,0.7584,0.9972
1,0.993,0.903,0.81,0.854,0.993
2,0.987,0.633,0.705,0.667,0.993
3,0.995,0.872,0.994,0.929,1.0
4,0.995,0.878,0.911,0.894,0.999
