test type,accuracy,precision,recall,f1,auroc
Image W/O TTA,0.982,0.668,0.854,0.75,0.991
Image TTA,0.982,0.677,0.849,0.754,0.992
Patient,0.922,0.385,0.833,0.526,0.976
