fold,accuracy,precision,recall,f1,auroc
0,0.9834,0.5836,0.9614,0.7263,0.9963
1,0.9919,0.8379,0.8379,0.8379,0.9977
2,0.99,0.72,0.716,0.718,0.994
3,0.995,0.885,0.948,0.915,0.999
4,0.993,0.843,0.864,0.854,0.997
