Epoch,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train AUROC,Val Loss,Val Accuracy,Val Precision,Val Recall,Val F1,Val AUROC
1,1.0004678658157025,0.6082,0.6047,0.6247,0.6145,0.6082,0.6491761153394525,0.6349,0.4983,0.5625,0.5284,0.6194
2,0.8047735972224541,0.6637,0.6621,0.6573,0.6597,0.6637,0.679367446763949,0.6406,0.5056,0.5312,0.5181,0.6172
3,0.7160724553297151,0.6803,0.6866,0.6598,0.6729,0.6802,0.6956710762936961,0.6932,0.5529,0.8164,0.6593,0.7196
4,0.6557911302683488,0.6915,0.6813,0.7042,0.6926,0.6917,0.719139969653704,0.6662,0.5292,0.7422,0.6179,0.6825
5,0.6078288802560771,0.7267,0.7048,0.7589,0.7309,0.7273,0.7386541258205067,0.706,0.6601,0.3945,0.4939,0.6392
6,0.5973660735026846,0.7169,0.718,0.7297,0.7238,0.7167,0.7326889390295203,0.7003,0.5606,0.8125,0.6635,0.7243
7,0.5892424296657994,0.719,0.7007,0.7426,0.721,0.7195,0.7267828322947025,0.7074,0.5868,0.6602,0.6213,0.6973
