fold,accuracy,precision,recall,f1,auroc
0,0.929,0.714,1.0,0.833,0.983
1,0.964,0.833,1.0,0.909,0.991
2,0.893,0.714,0.833,0.769,0.962
3,0.643,0.2,0.5,0.286,0.552
4,0.926,0.75,0.75,0.75,0.967
